crop,year,state,fertilizer,pesticide,yield,avg_temp_c,total_rainfall_mm,avg_humidity_percent,n,p,k,ph,ndvi,evi,gdd,rainfall_var
0,1997,2,7024878.38,22882.34,0.796086957,22.41,1468.92,70.71,60,18,38,5.8,0.22145690811458263,0.5006750404699277,12.41,286.3123451069846
1,1997,2,631643.29,2057.47,0.710434783,22.41,1468.92,70.71,60,18,38,5.8,0.2550727444116589,0.6910650666475072,12.41,286.3123451069846
8,1997,2,75755.32,246.76,0.238333333,22.41,1468.92,70.71,60,18,38,5.8,0.8262889538502003,0.10004136757852694,12.41,286.3123451069846
9,1997,2,1870661.52,6093.36,5238.051739,22.41,1468.92,70.71,60,18,38,5.8,0.5431101044960842,0.5819926374316121,12.41,286.3123451069846
11,1997,2,165500.63,539.09,0.420909091,22.41,1468.92,70.71,60,18,38,5.8,0.35770868469680817,0.20043518497539647,12.41,286.3123451069846
13,1997,2,1293074.79,4211.97,0.643636364,22.41,1468.92,70.71,60,18,38,5.8,0.33304165866320024,0.4513574601233842,12.41,286.3123451069846
16,1997,2,283511.43,923.49,0.465454545,22.41,1468.92,70.71,60,18,38,5.8,0.4639781601296289,0.716830307438049,12.41,286.3123451069846
21,1997,2,8995468.4,29301.2,9.919565217,22.41,1468.92,70.71,60,18,38,5.8,0.26765752773174933,0.11750291970524711,12.41,286.3123451069846
23,1997,2,961026.66,3130.38,0.461363636,22.41,1468.92,70.71,60,18,38,5.8,0.21090793276722947,0.4805195983699231,12.41,286.3123451069846
24,1997,2,1828786.72,5956.96,0.615652174,22.41,1468.92,70.71,60,18,38,5.8,0.21412644080292986,0.283001392314548,12.41,286.3123451069846
26,1997,2,562930.55,1833.65,4.568947368,22.41,1468.92,70.71,60,18,38,5.8,0.4411240091792285,0.6223847056648142,12.41,286.3123451069846
29,1997,2,943515.38,3073.34,0.482352941,22.41,1468.92,70.71,60,18,38,5.8,0.4612467339178617,0.6609556860453992,12.41,286.3123451069846
31,1997,2,745371.44,2427.92,2.342608696,22.41,1468.92,70.71,60,18,38,5.8,0.6582218535155406,0.21079635257438067,12.41,286.3123451069846
32,1997,2,10306625.49,33572.07,0.520869565,22.41,1468.92,70.71,60,18,38,5.8,0.7529623879755372,0.7816484959203639,12.41,286.3123451069846
37,1997,2,7162399.03,23330.29,7.561304348,22.41,1468.92,70.71,60,18,38,5.8,0.23130893000187183,0.7936499617388462,12.41,286.3123451069846
39,1997,2,26580219.64,86580.52,0.554782609,22.41,1468.92,70.71,60,18,38,5.8,0.7399165566870836,0.2512539954144676,12.41,286.3123451069846
40,1997,2,57802260.86,188280.98,0.780869565,22.41,1468.92,70.71,60,18,38,5.8,0.5927956464066355,0.787143991548899,12.41,286.3123451069846
40,1997,2,16652275.58,54241.94,1.060434783,22.41,1468.92,70.71,60,18,38,5.8,0.673347234944875,0.5917232364717845,12.41,286.3123451069846
40,1997,2,165911859.6,540429.51,0.941304348,22.41,1468.92,70.71,60,18,38,5.8,0.8078666417290024,0.2646229482720671,12.41,286.3123451069846
43,1997,2,1500355.05,4887.15,0.487391304,22.41,1468.92,70.71,60,18,38,5.8,0.5352356532634368,0.6569491185605534,12.41,286.3123451069846
44,1997,2,998333.3,3251.9,0.473,22.41,1468.92,70.71,60,18,38,5.8,0.49516480139843866,0.42306436256921964,12.41,286.3123451069846
46,1997,2,2980534.06,9708.58,41.89695652,22.41,1468.92,70.71,60,18,38,5.8,0.4326584848739754,0.24894506323872176,12.41,286.3123451069846
48,1997,2,892694.6,2907.8,3.440434783,22.41,1468.92,70.71,60,18,38,5.8,0.30665777729898874,0.31742013023822757,12.41,286.3123451069846
